"contrast","angle_type","estimate","SE","df","t.ratio","p.value"
"genotype2 - genotype4","NN1",1.84659534181204,2.40541230513991,8442,0.767683501853806,0.994690069328881
"genotype2 - genotype6","NN1",-3.58546069546904,2.56881370253992,8442,-1.39576517048469,0.859556559325486
"genotype2 - genotype7","NN1",-3.78882323477499,2.47877302284146,8442,-1.52850753169477,0.79216078704981
"genotype2 - genotype8","NN1",2.42304176716342,2.40683138676431,8442,1.00673515414842,0.973584843967563
"genotype2 - genotype9","NN1",-0.913458701374922,2.69441598420561,8442,-0.339019181421697,0.999975607746055
"genotype3 - genotype4","NN1",1.54822596524043,2.19271714107499,8442,0.706076463871399,0.996848467617496
"genotype3 - genotype6","NN1",-3.88383007204065,2.37082347326882,8442,-1.63817766941785,0.727022988580677
"genotype3 - genotype7","NN1",-4.0871926113466,2.27295310154261,8442,-1.79818607281105,0.621357033022276
"genotype3 - genotype8","NN1",2.12467239059181,2.1942737813134,8442,0.968280443710204,0.978817036022414
"genotype3 - genotype9","NN1",-1.21182807794653,2.50636741101305,8442,-0.483499774463124,0.999731326247681
"genotype4 - genotype6","NN1",-5.43205603728108,2.40789142097812,8442,-2.25593894722815,0.318467349362102
"genotype4 - genotype7","NN1",-5.63541857658703,2.31159100094064,8442,-2.43789605267275,0.223126468709291
"genotype4 - genotype8","NN1",0.576446425351376,2.23427271862165,8442,0.258001818912685,0.999996265096046
"genotype4 - genotype9","NN1",-2.76005404318696,2.54145917787515,8442,-1.08601155871981,0.959868992200573
"genotype6 - genotype7","NN1",-0.203362539305946,2.48117884004119,8442,-0.0819620641705016,0.999999998726111
"genotype6 - genotype8","NN1",6.00850246263246,2.40930904240518,8442,2.49386955217428,0.198000646261949
"genotype6 - genotype9","NN1",2.67200199409412,2.69662942085935,8442,0.990867329943548,0.975848474987191
"genotype7 - genotype8","NN1",6.2118650019384,2.31306764324459,8442,2.68555267723381,0.127022336231792
"genotype7 - genotype9","NN1",2.87536453340007,2.6110002094703,8442,1.10125021168934,0.956738309527112
"genotype8 - genotype9","NN1",-3.33650046853834,2.54280233588873,8442,-1.3121352066763,0.894590014000674
"genotype1 - genotype2","NN2",1.72050187758754,2.19755847243446,8442,0.782915175713877,0.994007241375148
