Colony,slide_id,Sample,NN_level,mean_distance,sd_distance,n,se_distance
SC4,1SG4T1,T1,7,3.0143959263337554,0.5422459324119436,93,0.05622828385752446
SC4,1SG4T1,T1,8,3.2545922613245,0.5998940986291011,93,0.062206120223222736
SC4,1SG4T2,T2,1,1.4361735471254442,0.38818558322486835,78,0.043953362087154405
SC4,1SG4T2,T2,2,1.722963844551812,0.3975461825992355,78,0.045013241256896826
SC4,1SG4T2,T2,3,2.049948028865664,0.36276934448595793,78,0.04107553974531396
SC4,1SG4T2,T2,4,2.371293150243827,0.40138167783418405,78,0.04544752557380715
SC4,1SG4T2,T2,5,2.671201221303307,0.4022582238347683,78,0.04554677486439043
SC4,1SG4T2,T2,6,2.9377466277744873,0.46528233992044976,78,0.05268285078849844
SC4,1SG4T2,T2,7,3.2525345419378904,0.4943404516701461,78,0.055973034047477284
SC4,1SG4T2,T2,8,3.5531976481029615,0.47905940979472955,78,0.05424279677014368
SC4,1SG4T3,T3,1,1.4434888769792547,0.33950549363278576,108,0.032668931356707606
SC4,1SG4T3,T3,2,1.7241308213605433,0.30171130870723345,108,0.029032184216612585
SC4,1SG4T3,T3,3,2.0048734062179485,0.2981441245166532,108,0.028688931757832502
SC4,1SG4T3,T3,4,2.2792450346493514,0.36960472053076343,108,0.035565230815365445
SC4,1SG4T3,T3,5,2.5803295206048418,0.40476416754229255,108,0.03894845018147623
SC4,1SG4T3,T3,6,2.851653363138674,0.4368191308725423,108,0.04203294046607344
SC4,1SG4T3,T3,7,3.128551975537471,0.4760476559621846,108,0.04580770705280961
SC4,1SG4T3,T3,8,3.3860260636187647,0.4855758462722271,108,0.04672455759287511
SC4,1SG4T4,T4,1,1.4738851238021067,0.3815294704965638,54,0.051919584697268345
SC4,1SG4T4,T4,2,1.8363421908324982,0.36963154155143807,54,0.05030048164663231
SC4,1SG4T4,T4,3,2.155783561104366,0.3834251068956349,54,0.052177548137022293
SC4,1SG4T4,T4,4,2.5424203670209558,0.4002924081794255,54,0.05447289710830444
