Colony,Colony_Number,Sample,Slide,Polyp_ID,X,Y,NN1_Distance,NN2_Distance,NN3_Distance,NN4_Distance,NN5_Distance,NN6_Distance,NN7_Distance,NN8_Distance
SC1,1,T2,1SG1T2,9,19.26341282173963,8.724913811727115,1.1321722951126956,1.2917318078721887,1.8453455658395503,1.8916499431456493,1.969661764982452,1.9715933211613703,2.147374076681285,2.4040474418125957
SC1,1,T2,1SG1T2,10,19.938613905627257,9.633713900931404,1.1321722951126956,1.3592783137802495,1.5037364709803644,1.9041573519355166,1.9523442647643583,2.2369331794531724,2.4226694240709112,2.6079460928287577
SC1,1,T2,1SG1T2,11,20.22162269805292,12.427854351424346,1.6226983704366655,1.731390180697475,1.869142809220888,2.291418130937257,2.602150331105348,2.6397768227147433,2.808436368100785,2.9408438510045043
SC1,1,T2,1SG1T2,12,20.87248022651728,14.947292944308272,1.2309944961058301,1.2751349688327054,1.345179095303002,1.8466520452070407,1.9842623962015529,2.0685285765947046,2.602150331105348,2.67031530074777
SC1,1,T2,1SG1T2,13,18.422210434539416,16.00878328902574,1.3807115504283265,1.5387880391693158,1.5867325744340999,1.6348897819757748,2.433920650629921,2.67031530074777,2.79185963271218,2.826685648626453
SC1,1,T2,1SG1T2,14,10.402929057541291,14.265504229226265,0.9566659668194162,1.7805791090839835,1.8375220521667541,2.015773247297388,2.1707436667053788,2.192098076026087,2.35470601475124,2.857822185436752
SC1,1,T2,1SG1T2,15,10.241817204394286,12.100747652306575,1.3398207541712601,1.5210648491186025,1.5609171162480908,2.1484282642115793,2.1707436667053788,2.4367655346285257,2.7073654829810914,2.7093192104672643
SC1,1,T2,1SG1T2,16,11.246407291189763,10.201657669189547,0.8455643410799352,1.740375961289536,1.898421629749693,2.08062368826886,2.1484282642115793,2.2860030604605477,2.369702016864963,2.3873889314539336
SC1,1,T2,1SG1T2,17,16.529996964102644,6.552766681686225,1.5165210342369104,1.5711575371785556,1.6724178235663725,1.857508635864162,1.889692061924168,2.238709065598604,2.5285376931695187,2.746668349599256
SC1,1,T2,1SG1T2,18,18.428338701014827,7.739407710089765,1.1371810511795788,1.2917318078721887,1.4224594259157275,1.8268224193123992,2.238709065598604,2.324296466529843,2.4226694240709112,2.6365727804247254
SC1,1,T2,1SG1T2,19,21.374466248104156,10.95658055285135,1.2079649027385098,1.3393740359868407,1.4810235754649048,1.869142809220888,1.9523442647643583,2.372002081931713,2.3783942085287126,2.48526138438562
SC1,1,T2,1SG1T2,20,21.43782572586464,9.750278441924747,1.2079649027385098,1.5037364709803644,1.516744745024635,1.7142714576298663,1.773239412075719,1.9888431523281545,2.4040474418125957,2.496736822326138
SC1,1,T2,1SG1T2,21,21.71495804962743,13.30401728464708,1.0941722712992337,1.5214222453188304,1.6954411900332436,1.731390180697475,1.8466520452070407,2.320278359979872,2.372002081931713,2.72531846695311
SC1,1,T2,1SG1T2,22,19.95034085934357,15.827990495257776,1.2751349688327054,1.2968907035291666,1.5132016062957663,1.529650913588707,1.5387880391693158,2.0048535195764288,2.4263210255825216,2.498821276231969
SC1,1,T2,1SG1T2,23,12.548512338098783,8.221756132357998,1.5560600893213095,1.6235779288849264,1.6345694021975643,1.726999134745758,2.1346144864429926,2.288447630843753,2.369702016864963,2.698237306717858
SC1,1,T2,1SG1T2,24,14.003736593417711,6.660057898875052,1.6799496815412793,1.7489893563063768,1.7825603561766081,2.1346144864429926,2.340131126685278,2.3553360964778878,2.3942502166354998,2.5285376931695187
SC1,1,T2,1SG1T2,25,11.401019540353982,9.370348997687604,0.8455643410799352,1.5705070884993535,1.6235779288849264,1.677905560711987,1.9285420163616127,2.251877852347452,2.4439464197869065,2.525965335083378
SC1,1,T2,1SG1T2,26,9.57568790989679,10.689105343926537,1.1589671632162055,1.5609171162480908,1.740375961289536,1.8801415907155195,2.0202511137701844,2.1535196140489017,2.251877852347452,2.276155437913736
SC1,1,T2,1SG1T2,27,9.969575712729934,13.412618157929906,0.9566659668194162,1.3169772168745324,1.3398207541712601,1.5970922554754874,2.2619645452783965,2.5863636595716732,2.7264019972620335,2.734966848083301
SC1,1,T2,1SG1T2,28,12.251543373366784,15.724019065362912,1.1241194607616605,1.8237146138751794,1.9259342338815126,2.35470601475124,2.4810585231416793,2.9892588107358646,3.248068742972436,3.3026339447860535
SC1,1,T2,1SG1T2,29,20.06229716344323,6.922425522547701,1.5185349191140898,1.6373321816175888,1.7331405483587383,1.7945213724876994,1.8268224193123992,1.9715933211613703,2.7141079969342607,2.7183629095994513
SC1,1,T2,1SG1T2,30,11.665182265354192,6.940721010215097,1.5560600893213095,1.8055587555798498,1.845319181244166,1.944339328306982,2.1190180637358065,2.3553360964778878,2.3978950636151017,2.4439464197869065
SC1,1,T2,1SG1T2,31,21.83042615434047,12.215954751483611,1.0941722712992337,1.3393740359868407,1.6226983704366655,1.7256031298838581,1.8814274869917489,2.1470774204881025,2.496736822326138,2.5564928047057953
SC1,1,T2,1SG1T2,32,21.21140638064491,16.13071024665394,1.2309944961058301,1.2968907035291666,1.5627357239293167,1.6420183706440403,1.7034048912424002,2.1112753672038367,2.7092957551930903,2.79185963271218
SC1,1,T2,1SG1T2,33,19.41773319482244,17.244361977952,1.1500187134698303,1.3525953201352445,1.5132016062957663,1.5867325744340999,2.1112753672038367,2.582290679679419,2.7189731649190434,3.1326718109616265
SC1,1,T2,1SG1T2,34,9.922340746656772,8.841197280221921,0.7801419226750037,1.3624961698408664,1.5705070884993535,1.8605045134880929,1.8801415907155195,1.898421629749693,1.9371528425009406,2.4434089949083075
SC1,1,T2,1SG1T2,35,8.851229330737253,12.717110890066753,1.3169772168745324,1.4262872223266105,1.5210648491186025,1.5700111369117629,1.691405217637616,2.1535196140489017,2.192098076026087,2.5340393880166494
SC1,1,T2,1SG1T2,36,10.467406328456915,16.10189470342678,1.63529169884698,1.752351536691411,1.8237146138751794,1.8375220521667541,1.9598713489020072,2.019815600934045,2.599762324061699,2.713449759576676
SC1,1,T2,1SG1T2,37,12.873342762599869,5.417302605279564,1.4250884500264318,1.4985920628405835,1.6799496815412793,1.944339328306982,2.063468080492057,2.396675057815143,2.8232028602677888,2.9222619127358906
SC1,1,T2,1SG1T2,38,18.338472873105847,17.641527181990572,1.1500187134698303,1.6348897819757748,2.1050101762941145,2.3570258530369292,2.4263210255825216,2.9811641099873847,3.2459690002895396,3.5146458333485846
SC1,1,T2,1SG1T2,39,16.28583133630572,17.17491110457297,2.038618875792565,2.1050101762941145,2.433920650629921,2.5462125516960987,3.1326718109616265,3.219479073692143,3.5916217149854273,3.7731687316694233
SC1,1,T2,1SG1T2,40,8.903039394966079,9.745310418757446,1.1589671632162055,1.3624961698408664,1.540005611413823,1.652423777711799,1.689138672925105,2.104020833332778,2.240861592453793,2.3873889314539336
